Unnamed: 0,X,id,date,time,name,size,type,price,month_name
1,1,2015-000001,2015-01-01,11:38:36,hawaiian,M,classic,13.25,January
2,2,2015-000002,2015-01-01,11:57:40,classic_dlx,M,classic,16.0,January
3,3,2015-000002,2015-01-01,11:57:40,mexicana,M,veggie,16.0,January
4,4,2015-000002,2015-01-01,11:57:40,thai_ckn,L,chicken,20.75,January
5,5,2015-000002,2015-01-01,11:57:40,five_cheese,L,veggie,18.5,January
6,6,2015-000002,2015-01-01,11:57:40,ital_supr,L,supreme,20.75,January
7,7,2015-000003,2015-01-01,12:12:28,prsc_argla,L,supreme,20.75,January
8,8,2015-000003,2015-01-01,12:12:28,ital_supr,M,supreme,16.5,January
9,9,2015-000004,2015-01-01,12:16:31,ital_supr,M,supreme,16.5,January
10,10,2015-000005,2015-01-01,12:21:30,ital_supr,M,supreme,16.5,January
11,11,2015-000006,2015-01-01,12:29:36,bbq_ckn,S,chicken,12.75,January
12,12,2015-000006,2015-01-01,12:29:36,the_greek,S,classic,12.0,January
13,13,2015-000007,2015-01-01,12:50:37,spinach_supr,S,supreme,12.5,January
14,14,2015-000008,2015-01-01,12:51:37,spinach_supr,S,supreme,12.5,January
15,15,2015-000009,2015-01-01,12:52:01,ital_supr,L,supreme,20.75,January
16,16,2015-000009,2015-01-01,12:52:01,mexicana,S,veggie,12.0,January
17,17,2015-000009,2015-01-01,12:52:01,spin_pesto,L,veggie,20.75,January
18,18,2015-000009,2015-01-01,12:52:01,spicy_ital,L,supreme,20.75,January
19,19,2015-000009,2015-01-01,12:52:01,ital_cpcllo,L,classic,20.5,January
20,20,2015-000009,2015-01-01,12:52:01,veggie_veg,S,veggie,12.0,January
21,21,2015-000009,2015-01-01,12:52:01,green_garden,S,veggie,12.0,January
22,22,2015-000009,2015-01-01,12:52:01,classic_dlx,S,classic,12.0,January
23,23,2015-000009,2015-01-01,12:52:01,ital_supr,S,supreme,12.5,January
24,24,2015-000010,2015-01-01,13:00:15,mexicana,L,veggie,20.25,January
25,25,2015-000010,2015-01-01,13:00:15,southw_ckn,L,chicken,20.75,January
26,26,2015-000011,2015-01-01,13:02:59,pepperoni,L,classic,15.25,January
27,27,2015-000011,2015-01-01,13:02:59,cali_ckn,L,chicken,20.75,January
28,28,2015-000011,2015-01-01,13:02:59,cali_ckn,M,chicken,16.75,January
29,29,2015-000011,2015-01-01,13:02:59,bbq_ckn,L,chicken,20.75,January
30,30,2015-000012,2015-01-01,13:04:41,cali_ckn,S,chicken,12.75,January
31,31,2015-000012,2015-01-01,13:04:41,ital_supr,M,supreme,16.5,January
32,32,2015-000012,2015-01-01,13:04:41,cali_ckn,L,chicken,20.75,January
33,33,2015-000012,2015-01-01,13:04:41,ckn_pesto,L,chicken,20.75,January
34,34,2015-000013,2015-01-01,13:11:55,mexicana,L,veggie,20.25,January
35,35,2015-000014,2015-01-01,13:14:19,the_greek,S,classic,12.0,January
36,36,2015-000015,2015-01-01,13:33:00,big_meat,S,classic,12.0,January
37,37,2015-000015,2015-01-01,13:33:00,five_cheese,L,veggie,18.5,January
38,38,2015-000015,2015-01-01,13:33:00,soppressata,L,supreme,20.75,January
39,39,2015-000015,2015-01-01,13:33:00,the_greek,S,classic,12.0,January
40,40,2015-000016,2015-01-01,13:34:07,thai_ckn,L,chicken,20.75,January
41,41,2015-000016,2015-01-01,13:34:07,four_cheese,L,veggie,17.95,January
42,42,2015-000016,2015-01-01,13:34:07,napolitana,S,classic,12.0,January
43,43,2015-000017,2015-01-01,13:53:00,mediterraneo,M,veggie,16.0,January
44,44,2015-000017,2015-01-01,13:53:00,bbq_ckn,L,chicken,20.75,January
45,45,2015-000017,2015-01-01,13:53:00,ital_supr,M,supreme,16.5,January
46,46,2015-000017,2015-01-01,13:53:00,mexicana,L,veggie,20.25,January
47,47,2015-000017,2015-01-01,13:53:00,four_cheese,M,veggie,14.75,January
48,48,2015-000017,2015-01-01,13:53:00,spinach_fet,L,veggie,20.25,January
49,49,2015-000017,2015-01-01,13:53:00,mediterraneo,M,veggie,16.0,January
50,50,2015-000017,2015-01-01,13:53:00,five_cheese,L,veggie,18.5,January
51,51,2015-000017,2015-01-01,13:53:00,ital_veggie,S,veggie,12.75,January
52,52,2015-000017,2015-01-01,13:53:00,calabrese,M,supreme,16.25,January
53,53,2015-000017,2015-01-01,13:53:00,peppr_salami,S,supreme,12.5,January
54,54,2015-000018,2015-01-01,13:57:08,napolitana,L,classic,20.5,January
